"id","created_date","modified_date","available_globally","locale","original_title","release_date","runtime","title"
1,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2024-03-08,110,Damsel
2,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2024-01-12,107,Lift
3,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,La sociedad de la nieve,2024-01-04,146,Society of the Snow
4,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Sous la Seine,2024-06-05,104,Under Paris
5,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,92,The Super Mario Bros. Movie
6,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-05-09,90,Mother of the Bride
7,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-05-24,120,Atlas
8,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,91,Minions
9,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-03-15,94,Irish Wish
10,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,98,The Boss Baby
11,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,90,Despicable Me 3
12,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-04-12,100,Woody Woodpecker Goes to Camp
13,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,90,Shrek
14,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-04-19,124,Rebel Moon — Part Two: The Scargiver
15,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2023-12-21,136,Rebel Moon — Part One: A Child of Fire
16,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2023-11-21,107,Leo
17,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,황야,2024-01-26,109,Badland Hunters
18,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,109,The Equalizer 3
19,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-02-23,120,Mea Culpa
20,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Fabbricante di lacrime,2024-04-04,105,The Tearsmith
21,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2024-06-21,107,Trigger Warning
22,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Avgrunden,2024-02-16,103,The Abyss
23,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-04-10,87,What Jennifer Did
24,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Le salaire de la peur,2024-03-29,106,The Wages of Fear
25,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-02-02,93,Orion and the Dark
26,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-02-28,100,Code 8 Part II
27,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,93,Trolls
28,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Kolory zła: Czerwień,2024-05-29,112,Colors of Evil: Red
29,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2023-12-08,142,Leave the World Behind
30,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,110,Sing 2
31,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,"60 Minuten",2024-01-19,90,Sixty Minutes
32,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,130,Top Gun: Maverick
33,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-02-09,91,"Lover, Stalker, Killer"
34,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,90,Hotel Transylvania 2
35,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-02-14,105,Players
36,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2024-03-29,107,Heart of the Hunter
37,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,98,Despicable Me 2
38,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,108,Sing (2016)
39,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,A través de mi ventana 3: A través de tu mirada,2024-02-23,105,Through My Window 3: Looking at You
40,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2024-05-17,98,Thelma the Unicorn
41,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,2024-06-07,116,Hit Man
42,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,86,Dr. Seuss' The Grinch
43,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,2024-03-01,109,Spaceman
44,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,124,Sonic the Hedgehog 2
45,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,98,The Croods
46,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2020-12-25,101,We Can Be Heroes
