"id","created_date","modified_date","original_title","release_date","runtime","season_number","title","tv_show_id"
1,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-01-01,385,,Fool Me Once: Limited Series,1
2,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-16,479,3,Bridgerton: Season 3,2
3,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-04-11,238,,Baby Reindeer: Limited Series,3
4,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-07,401,1,The Gentlemen: Season 1,4
5,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-02-22,435,1,Avatar The Last Airbender: Season 1,5
6,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-01-25,332,,Griselda: Limited Series,6
7,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-01-17,135,1,American Nightmare: Season 1,7
8,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-21,444,1,"3 Body Problem: Season 1",8
9,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,Berlín: Season 1,2023-12-29,394,1,Berlin: Season 1,9
10,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-02-08,400,,One Day: Limited Series,10
11,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2020-12-25,492,1,Bridgerton: Season 1,2
12,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2022-03-25,510,2,Bridgerton: Season 2,2
13,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,El caso Asunta: Miniserie,2024-04-26,325,,The Asunta Case: Limited Series,11
14,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,눈물의 여왕: 리미티드 시리즈,2024-03-09,1402,,Queen of Tears: Limited Series,12
15,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,122,6,Peppa Pig: Season 6,13
16,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2023-12-07,457,1,My Life With the Walter Boys: Season 1,14
17,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-30,321,,Eric: Limited Series,15
18,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-27,256,1,Testament: The Story of Moses: Season 1,16
19,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,Ni una más: Temporada 1,2024-05-31,363,1,Raising Voices: Season 1,17
20,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,기생수: 더 그레이: 리미티드 시리즈,2024-04-05,300,,Parasyte: The Grey: Limited Series,18
21,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2023-05-04,389,,Queen Charlotte: A Bridgerton Story,19
22,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-01-04,440,1,The Brothers Sun: Season 1,20
23,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2023-11-17,235,1,CoComelon Lane: Season 1,21
24,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-01,360,1,Furies: Season 1,22
25,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,433,1,Young Sheldon: Season 1,23
26,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-05,184,,The Roast of Tom Brady,24
27,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-04,242,1,Hot Wheels Let's Race: Season 1,25
28,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2022-11-08,6,,Triviaverse,26
29,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-02-14,859,6,Love Is Blind: Season 6,27
30,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-02-01,342,1,The Tourist: Season 1,28
31,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-15,156,1,"Ashley Madison: Sex, Lies & Scandal: Season 1",29
32,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,122,3,Peppa Pig: Season 3,13
33,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-29,161,1,Dancing for the Devil: The 7M TikTok Cult: Season 1,30
34,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-02,268,,A Man in Full: Limited Series,31
35,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-28,170,1,Bad Dinosaurs: Season 1,32
36,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,Das Signal: Limited Series,2024-03-07,249,,The Signal: Limited Series,33
37,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,123,4,Peppa Pig: Season 4,13
38,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-01-01,200,,You Are What You Eat: A Twin Experiment: Limited Series,34
39,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2020-05-31,178,1,CoComelon: Season 1,35
40,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-30,338,1,Geek Girl: Season 1,36
41,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,430,2,Young Sheldon: Season 2,23
42,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,마이 데몬: 리미티드 시리즈,2023-11-24,1055,,My Demon: Limited Series,37
43,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2023-12-31,57,,Dave Chappelle: The Dreamer,38
44,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-20,271,,Homicide: New York,39
45,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,407,3,Young Sheldon: Season 3,23
46,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-06-06,378,3,Sweet Tooth: Season 3,40
47,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,333,4,Young Sheldon: Season 4,23
48,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2023-03-23,491,1,The Night Agent: Season 1,41
49,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,123,5,Peppa Pig: Season 5,13
50,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-13,320,1,Bandidos: Season 1,42
51,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-04-10,297,,Anthracite: Secrets of the Sect,43
52,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,429,5,Young Sheldon: Season 5,23
53,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,忍びの家 House of Ninjas: シーズン1,2024-02-15,427,1,House of Ninjas: Season 1,44
54,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,428,6,Young Sheldon: Season 6,23
55,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-04-04,424,1,Crooks: Season 1,45
56,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,200,1,Masha and the Bear: Season 1,46
57,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2022-11-23,409,1,Wednesday: Season 1,47
58,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,150,2,Bebefinn: Season 2,48
59,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-01-31,235,1,Alexander: The Making of a God: Season 1,49
60,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2020-12-17,169,2,CoComelon: Season 2,35
61,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,152,1,Bebefinn: Season 1,48
62,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2022-11-15,32,,Jurassic World Camp Cretaceous: Hidden Adventure,50
63,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,452,1,Yellowstone: Season 1,51
64,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,हीरामंडी: द डायमंड बाज़ार: सीज़न 1,2024-05-01,439,1,Heeramandi: The Diamond Bazaar: Season 1,52
65,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,Kimler Geldi Kimler Geçti: 1. Sezon,2024-05-09,352,1,"Thank You, Next: Season 1",53
66,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,여신강림: 리미티드 시리즈,,1201,,True Beauty: Limited Series,54
67,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,살인자ㅇ난감: 시즌 1,2024-02-09,430,1,A Killer Paradox: Season 1,55
68,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-04-10,331,1,Unlocked: A Jail Experiment: Season 1,56
69,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,224,1,Little Angel: Volume 1,57
70,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,닥터슬럼프: 리미티드 시리즈,2024-01-27,1077,,Doctor Slump: Limited Series,58
71,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-03-05,192,,"The Program: Cons, Cults and Kidnapping: Limited Series",59
72,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,Entrevías: Temporada 3,2024-02-23,593,3,Wrong Side of the Tracks: Season 3,60
73,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,Forst: Sezon 1,2024-01-11,258,1,Detective Forst: Season 1,61
74,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,603,4,PAW Patrol: Season 4,62
75,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,2024-05-24,236,1,Jurassic World: Chaos Theory: Season 1,63
76,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,,,486,1,Warrior (2019): Season 1,64
77,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,하이라키: 리미티드 시리즈,2024-06-07,458,,Hierarchy: Limited Series,65
