"id","created_date","modified_date","available_globally","locale","original_title","release_date","title"
1,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Fool Me Once
2,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Bridgerton
3,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Baby Reindeer
4,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,The Gentlemen
5,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Avatar The Last Airbender
6,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Griselda
7,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,American Nightmare
8,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,"3 Body Problem"
9,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Berlín,,Berlin
10,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,One Day
11,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,El caso Asunta,,The Asunta Case
12,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,눈물의 여왕,,Queen of Tears
13,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,Peppa Pig
14,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,My Life With the Walter Boys
15,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Eric
16,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,Testament: The Story of Moses
17,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Ni una más,,Raising Voices
18,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,기생수: 더 그레이,,Parasyte: The Grey
